Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-27,18:35:00,49.74,49.7401,49.72,49.73,4002,0
2017-11-27,18:40:00,49.725,49.725,49.715,49.715,680,0
2017-11-27,18:45:00,49.71,49.719,49.7,49.7,27227,0
2017-11-27,18:50:00,49.7099,49.71,49.7099,49.71,1099,0
2017-11-27,18:55:00,49.7148,49.73,49.7148,49.72,1250,0
2017-11-27,19:00:00,49.7336,49.74,49.72,49.72,4335,0
2017-11-27,19:05:00,49.7499,49.7499,49.74,49.745,5243,0
2017-11-27,19:10:00,49.744,49.7466,49.744,49.7466,1330,0
2017-11-27,19:15:00,49.7499,49.76,49.7466,49.75,9642,0
2017-11-27,19:20:00,49.7402,49.7402,49.7402,49.7402,1075,0
2017-11-27,19:30:00,49.76,49.76,49.7599,49.7599,318,0
2017-11-27,19:35:00,49.7566,49.7566,49.75,49.75,810,0
2017-11-27,19:40:00,49.7467,49.7524,49.73,49.7524,1673,0
2017-11-27,19:45:00,49.74,49.7442,49.74,49.7442,620,0
2017-11-27,19:50:00,49.759,49.759,49.75,49.75,4170,0
2017-11-27,19:55:00,49.75,49.7564,49.745,49.7456,1896,0
2017-11-27,20:00:00,49.75,49.75,49.75,49.75,200,0
2017-11-27,20:05:00,49.7499,49.7499,49.74,49.7461,2210,0
2017-11-27,20:10:00,49.74,49.75,49.74,49.75,3800,0
2017-11-27,20:15:00,49.75,49.75,49.7437,49.7499,458,0
2017-11-27,20:20:00,49.74,49.75,49.74,49.74,16181,0
2017-11-27,20:25:00,49.74,49.74,49.725,49.73,1880,0
2017-11-27,20:30:00,49.73,49.74,49.73,49.73,1300,0
2017-11-27,20:35:00,49.73,49.735,49.725,49.725,17972,0
2017-11-27,20:40:00,49.73,49.74,49.72,49.74,13212,0
2017-11-27,20:45:00,49.73,49.73,49.73,49.73,1200,0
2017-11-27,20:50:00,49.73,49.73,49.73,49.73,1100,0
2017-11-27,21:00:00,49.72,49.73,49.72,49.73,900,0
2017-11-27,21:05:00,49.73,49.74,49.73,49.74,9191,0
2017-11-27,21:10:00,49.72,49.73,49.72,49.73,4058,0
2017-11-27,21:15:00,49.73,49.73,49.73,49.73,1272,0
2017-11-27,21:20:00,49.7275,49.73,49.72,49.728,8669,0
2017-11-27,21:25:00,49.7262,49.73,49.72,49.721,1846,0
2017-11-27,21:30:00,49.725,49.7275,49.72,49.72,30513,0
2017-11-27,21:35:00,49.72,49.72,49.72,49.72,8000,0
2017-11-27,21:40:00,49.72,49.72,49.7148,49.72,16635,0
2017-11-27,21:45:00,49.72,49.72,49.71,49.72,15061,0
2017-11-27,21:50:00,49.72,49.72,49.715,49.715,623,0
2017-11-27,21:55:00,49.72,49.72,49.7034,49.7034,6281,0
2017-11-27,22:00:00,49.71,49.71,49.67,49.67,30038,0
2017-11-28,15:35:00,49.9,49.9,49.84,49.8604,28367,0
2017-11-28,15:40:00,49.8275,49.83,49.82,49.82,2553,0
2017-11-28,15:45:00,49.83,49.83,49.81,49.81,4450,0
2017-11-28,15:50:00,49.82,49.82,49.7867,49.79,9265,0
2017-11-28,15:55:00,49.8,49.8,49.7859,49.79,8142,0
2017-11-28,16:00:00,49.77,49.78,49.77,49.7768,1100,0
2017-11-28,16:05:00,49.76,49.77,49.76,49.77,1100,0
2017-11-28,16:10:00,49.77,49.79,49.77,49.785,14434,0
2017-11-28,16:15:00,49.7937,49.8,49.78,49.79,15939,0
2017-11-28,16:25:00,49.78,49.8,49.78,49.8,14319,0
2017-11-28,16:30:00,49.81,49.81,49.8066,49.8066,1850,0
2017-11-28,16:35:00,49.81,49.8254,49.81,49.8254,3862,0
2017-11-28,16:40:00,49.82,49.83,49.82,49.83,5100,0
2017-11-28,16:45:00,49.84,49.86,49.8353,49.85,7501,0
2017-11-28,16:50:00,49.87,49.87,49.85,49.85,3420,0
2017-11-28,16:55:00,49.86,49.86,49.85,49.86,3650,0
2017-11-28,17:00:00,49.84,49.84,49.7994,49.8,5798,0
2017-11-28,17:05:00,49.796,49.815,49.796,49.815,6020,0
2017-11-28,17:10:00,49.819,49.83,49.819,49.8206,2407,0
2017-11-28,17:15:00,49.81,49.81,49.81,49.81,100,0
2017-11-28,17:20:00,49.801,49.8067,49.7902,49.7902,4275,0
2017-11-28,17:25:00,49.795,49.7971,49.795,49.7971,1006,0
2017-11-28,17:30:00,49.8,49.84,49.8,49.84,1904,0
2017-11-28,17:35:00,49.8401,49.86,49.8401,49.86,500,0
2017-11-28,17:40:00,49.88,49.89,49.88,49.89,600,0
2017-11-28,17:45:00,49.8856,49.8865,49.8856,49.8865,350,0
2017-11-28,17:50:00,49.8841,49.8841,49.8767,49.8767,1795,0
2017-11-28,17:55:00,49.88,49.88,49.87,49.87,1986,0
2017-11-28,18:00:00,49.8838,49.89,49.88,49.88,1964,0
2017-11-28,18:05:00,49.885,49.89,49.885,49.89,200,0
2017-11-28,18:10:00,49.89,49.9,49.89,49.89,5300,0
2017-11-28,18:15:00,49.92,49.95,49.92,49.95,400,0
2017-11-28,18:20:00,49.94,49.94,49.92,49.92,835,0
2017-11-28,18:25:00,49.935,49.95,49.9301,49.95,1551,0
2017-11-28,18:30:00,49.9401,49.9599,49.9401,49.9599,2116,0
2017-11-28,18:35:00,49.96,49.9667,49.9536,49.96,6104,0
2017-11-28,18:40:00,49.95,49.95,49.9476,49.95,7900,0
2017-11-28,18:45:00,49.945,49.95,49.94,49.95,17500,0
2017-11-28,18:50:00,49.95,49.95,49.94,49.95,6200,0
2017-11-28,18:55:00,49.94,49.94,49.935,49.935,700,0
2017-11-28,19:00:00,49.93,49.95,49.93,49.95,2520,0
2017-11-28,19:05:00,49.97,49.99,49.969,49.98,6328,0
2017-11-28,19:10:00,49.9943,49.9943,49.9868,49.9868,466,0
2017-11-28,19:15:00,49.98,49.99,49.9799,49.987,3442,0
2017-11-28,19:20:00,49.98,49.98,49.98,49.98,100,0
2017-11-28,19:25:00,49.935,49.96,49.92,49.925,26600,0
2017-11-28,19:30:00,49.93,49.94,49.91,49.93,8224,0
2017-11-28,19:35:00,49.93,49.94,49.925,49.94,3900,0
2017-11-28,19:40:00,49.95,49.95,49.93,49.94,2246,0
2017-11-28,19:45:00,49.9265,49.9342,49.9265,49.9342,400,0
2017-11-28,19:50:00,49.93,49.94,49.9299,49.94,1327,0
