Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-28,21:35:00,71.61,71.61,71.598,71.598,6707,0
2017-11-28,21:40:00,71.595,71.6,71.575,71.58,7691,0
2017-11-28,21:45:00,71.58,71.61,71.58,71.61,4482,0
2017-11-28,21:50:00,71.61,71.62,71.6,71.6,20903,0
2017-11-28,21:55:00,71.6,71.62,71.6,71.6105,37338,0
2017-11-28,22:00:00,71.62,71.65,71.58,71.65,185377,0
2017-11-29,15:35:00,71.66,71.66,71.6,71.6,18798,0
2017-11-29,15:40:00,71.609,71.64,71.591,71.64,14610,0
2017-11-29,15:45:00,71.65,71.68,71.64,71.68,15294,0
2017-11-29,15:50:00,71.685,71.69,71.635,71.635,30222,0
2017-11-29,15:55:00,71.64,71.67,71.637,71.65,143729,0
2017-11-29,16:00:00,71.65,71.705,71.645,71.69,17954,0
2017-11-29,16:05:00,71.69,71.69,71.645,71.65,12414,0
2017-11-29,16:10:00,71.65,71.67,71.64,71.66,9068,0
2017-11-29,16:15:00,71.66,71.685,71.65,71.65,6536,0
2017-11-29,16:20:00,71.645,71.645,71.55,71.55,21664,0
2017-11-29,16:25:00,71.54,71.56,71.51,71.53,15286,0
2017-11-29,16:30:00,71.53,71.545,71.51,71.53,27029,0
2017-11-29,16:35:00,71.54,71.54,71.48,71.51,10128,0
2017-11-29,16:40:00,71.51,71.6,71.51,71.59,18040,0
2017-11-29,16:45:00,71.6,71.61,71.57,71.57,21680,0
2017-11-29,16:50:00,71.57,71.58,71.53,71.555,9581,0
2017-11-29,16:55:00,71.56,71.56,71.495,71.51,4600,0
2017-11-29,17:00:00,71.51,71.53,71.48,71.5,9780,0
2017-11-29,17:05:00,71.51,71.53,71.48,71.52,19711,0
2017-11-29,17:10:00,71.5167,71.53,71.47,71.47,9321,0
2017-11-29,17:15:00,71.47,71.52,71.46,71.4932,11337,0
2017-11-29,17:20:00,71.49,71.49,71.45,71.47,9542,0
2017-11-29,17:25:00,71.47,71.48,71.38,71.38,18332,0
2017-11-29,17:30:00,71.39,71.44,71.3699,71.44,15834,0
2017-11-29,17:35:00,71.43,71.43,71.4,71.415,6229,0
2017-11-29,17:40:00,71.42,71.445,71.42,71.425,17397,0
2017-11-29,17:45:00,71.425,71.425,71.335,71.34,29419,0
2017-11-29,17:50:00,71.34,71.35,71.3199,71.34,28731,0
2017-11-29,17:55:00,71.34,71.35,71.3199,71.33,12974,0
2017-11-29,18:00:00,71.33,71.33,71.2899,71.2999,174671,0
2017-11-29,18:05:00,71.3,71.3,71.26,71.26,6315,0
2017-11-29,18:10:00,71.27,71.31,71.26,71.305,18972,0
2017-11-29,18:15:00,71.31,71.33,71.3,71.31,43011,0
2017-11-29,18:20:00,71.32,71.375,71.3101,71.36,13569,0
2017-11-29,18:25:00,71.37,71.39,71.3699,71.38,3647,0
2017-11-29,18:30:00,71.3885,71.39,71.36,71.36,5705,0
2017-11-29,18:35:00,71.37,71.37,71.34,71.3499,3949,0
2017-11-29,18:40:00,71.35,71.39,71.35,71.39,9229,0
2017-11-29,18:45:00,71.3999,71.43,71.3999,71.4,4676,0
2017-11-29,18:50:00,71.4,71.435,71.4,71.435,3520,0
2017-11-29,18:55:00,71.43,71.43,71.4099,71.4099,6351,0
2017-11-29,19:00:00,71.4,71.42,71.38,71.38,5490,0
2017-11-29,19:05:00,71.39,71.395,71.3699,71.38,10378,0
2017-11-29,19:10:00,71.38,71.38,71.36,71.37,9668,0
2017-11-29,19:15:00,71.365,71.4,71.365,71.39,12933,0
2017-11-29,19:20:00,71.39,71.42,71.39,71.42,5782,0
2017-11-29,19:25:00,71.4149,71.43,71.4149,71.4199,4081,0
2017-11-29,19:30:00,71.42,71.44,71.42,71.42,4300,0
2017-11-29,19:35:00,71.4271,71.43,71.4047,71.4047,6722,0
2017-11-29,19:40:00,71.41,71.41,71.3867,71.39,6005,0
2017-11-29,19:45:00,71.38,71.38,71.36,71.38,7137,0
2017-11-29,19:50:00,71.38,71.39,71.37,71.37,10293,0
2017-11-29,19:55:00,71.38,71.39,71.3469,71.35,5559,0
2017-11-29,20:00:00,71.35,71.37,71.3399,71.36,5183,0
2017-11-29,20:05:00,71.36,71.41,71.36,71.4,22324,0
2017-11-29,20:10:00,71.4,71.41,71.391,71.409,9577,0
2017-11-29,20:15:00,71.41,71.44,71.4099,71.42,10867,0
2017-11-29,20:20:00,71.42,71.43,71.415,71.43,2095,0
2017-11-29,20:25:00,71.425,71.44,71.425,71.4374,4433,0
2017-11-29,20:30:00,71.4356,71.4356,71.4,71.42,10678,0
2017-11-29,20:35:00,71.42,71.425,71.395,71.4,5173,0
2017-11-29,20:40:00,71.405,71.41,71.385,71.385,13233,0
2017-11-29,20:45:00,71.38,71.43,71.38,71.4,29976,0
2017-11-29,20:50:00,71.395,71.405,71.37,71.405,29144,0
2017-11-29,20:55:00,71.4076,71.42,71.4,71.4,14686,0
2017-11-29,21:00:00,71.4001,71.43,71.395,71.395,6480,0
2017-11-29,21:05:00,71.4,71.405,71.38,71.4,9817,0
2017-11-29,21:10:00,71.39,71.395,71.375,71.385,4713,0
2017-11-29,21:15:00,71.385,71.3972,71.36,71.36,6722,0
2017-11-29,21:20:00,71.36,71.37,71.345,71.36,8600,0
2017-11-29,21:25:00,71.36,71.38,71.355,71.37,121751,0
